# mapping_set_id: https://github.com/edithlaszny/vvo/vvo-mappings-v2-004
# mapping_set_version: 2-004
# license: https://creativecommons.org/licenses/by/4.0/
# creator_id: orcid:0009-0005-6549-9839
# curie_map:
#   VVO: "http://purl.obolibrary.org/obo/VVO_"
#   PO: "http://purl.obolibrary.org/obo/PO_"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   GO: "http://purl.obolibrary.org/obo/GO_"
#   NCBITAXON: "http://purl.bioontology.org/ontology/NCBITAXON/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	predicate_id	object_id	match_type	confidence
VVO:0001611	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0000220	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0000676	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0002633	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0001537	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0002075	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0001942	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0000517	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0001983	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0003263	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0001850	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0003105	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0000684	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0002637	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0001613	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
